1a|Hwæt! wē Gār-Dena
209b|land‐gemyrcu.
210a|Fyrst forð gewāt:
210b|flota wæs on ȳðum,
211a|bāt under beorge.
211b|Beornas gearwe
212a|on stefn stigon;
212b|strēamas wundon
213a|sund wið sande;
213b|secgas bǣron
214a|on bearm nacan
214b|beorhte frætwe,
215a|gūð‐searo geatolīc;
215b|guman ūt scufon,
216a|weras on wil‐sīð
216b|wudu bundenne.
217a|Gewāt þā ofer wǣg‐holm
217b|winde gefȳsed
218a|flota fāmig‐heals
218b|fugle gelīcost,
219a|oð þæt ymb ān‐tīd
219b|ōðres dōgores
220a|wunden‐stefna
220b|gewaden hæfde,
221a|þæt þā līðende
221b|land gesāwon,
222a|brim‐clifu blīcan,
222b|beorgas stēape,
223a|sīde sǣ‐næssas:
223b|þā wæs sund liden,
224a|eoletes æt ende.
224b|Þanon up hraðe
225a|Wedera lēode
225b|on wang stigon,
226a|sǣ‐wudu sǣldon
226b|(syrcan hrysedon,
227a|gūð‐gewǣdo);
227b|gode þancedon,
228a|þæs þe him ȳð‐lāde
228b|ēaðe wurdon.
229a|Þā of wealle geseah
229b|weard Scildinga,
230a|sē þe holm‐clifu
230b|healdan scolde,
231a|beran ofer bolcan
231b|beorhte randas,
232a|fyrd‐searu fūslīcu;
232b|hine fyrwyt bræc
233a|mōd‐gehygdum,
233b|hwæt þā men wǣron.
234a|Gewāt him þā tō waroðe
234b|wicge rīdan
235a|þegn Hrōðgāres,
235b|þrymmum cwehte
236a|mægen‐wudu mundum,
236b|meðel‐wordum frægn:
237a|"Hwæt syndon gē
237b|searo‐hæbbendra
238a|byrnum werede,
238b|þē þus brontne cēol
239a|ofer lagu‐strǣte
239b|lǣdan cwōmon,
240a|hider ofer holmas
240b|helmas bǣron?
241a|Ic wæs ende‐sǣta,
241b|ǣg‐wearde hēold,
242a|þæt on land Dena
242b|lāðra nǣnig
243a|mid scip‐herge
243b|sceððan ne meahte.
244a|Nō hēr cūðlīcor
244b|cuman ongunnon
245a|lind‐hæbbende;
245b|nē gē lēafnes‐word
246a|gūð‐fremmendra
246b|gearwe ne wisson,
247a|māga gemēdu.
247b|Nǣfre ic māran geseah
248a|eorla ofer eorðan,
248b|þonne is ēower sum,
249a|secg on searwum;
249b|nis þæt seld‐guma
250a|wǣpnum geweorðad,
250b|næfne him his wlite lēoge,
251a|ǣnlīc an‐sȳn.
251b|Nū ic ēower sceal
252a|frum‐cyn witan,
252b|ǣr gē fyr heonan
253a|lēase scēaweras
253b|on land Dena
254a|furður fēran.
254b|Nū gē feor‐būend,
255a|mere‐līðende,
255b|mīnne gehȳrað
256a|ān‐fealdne geþōht:
256b|ofost is sēlest
257a|tō gecȳðanne,
257b|hwanan ēowre cyme syndon."
258a|Him se yldesta
258b|andswarode,
259a|werodes wīsa,
259b|word‐hord onlēac:
260a|"Wē synt gum‐cynnes
260b|Gēata lēode
261a|and Higelāces
261b|heorð‐genēatas.
262a|Wæs mīn fæder
262b|folcum gecȳðed,
263a|æðele ord‐fruma
263b|Ecgþēow hāten;
264a|gebād wintra worn,
264b|ǣr hē on weg hwurfe,
265a|gamol of geardum;
265b|hine gearwe geman
266a|witena wēl‐hwylc
266b|wīde geond eorðan.‐
267a|Wē þurh holdne hige
267b|hlāford þinne,
268a|sunu Healfdenes,
268b|sēcean cwōmon,
269a|lēod‐gebyrgean:
269b|wes þū ūs lārena gōd!
270a|Habbað wē tō þǣm mǣran
270b|micel ǣrende
271a|Deniga frēan;
271b|ne sceal þǣr dyrne sum
272a|wesan, þæs ic wēne.
272b|Þū wāst, gif hit is,
273a|swā wē sōðlice
273b|secgan hȳrdon,
274a|þæt mid Scyldingum
274b|sceaða ic nāt hwylc,
275a|dēogol dǣd‐hata,
275b|deorcum nihtum
276a|ēaweð þurh egsan
276b|uncūðne nīð,
277a|hȳnðu and hrā‐fyl.
277b|Ic þæs Hrōðgār mæg
278a|þurh rūmne sefan
278b|rǣd gelǣran,
279a|hū hē frōd and gōd
279b|fēond oferswȳðeð,
280a|gyf him ed‐wendan
280b|ǣfre scolde
281a|bealuwa bisigu,
281b|bōt eft cuman
282a|and þā cear‐wylmas
282b|cōlran wurðað;
283a|oððe ā syððan
283b|earfoð‐þrāge,
284a|þrēa‐nȳd þolað,
284b|þenden þǣr wunað
285a|on hēah‐stede
285b|hūsa sēlest."
286a|Weard maðelode,
286b|þǣr on wicge sæt
287a|ombeht unforht:
287b|"Ǣghwæðres sceal
288a|scearp scyld‐wiga
288b|gescād witan,
289a|worda and worca,
289b|sē þe wēl þenceð.
290a|Ic þæt gehȳre,
290b|þæt þis is hold weorod
291a|frēan Scyldinga.
291b|Gewītað forð beran
292a|wǣpen and gewǣdu,
292b|ic ēow wīsige:
293a|swylce ic magu‐þegnas
293b|mīne hāte
294a|wið fēonda gehwone
294b|flotan ēowerne,
295a|nīw‐tyrwedne
295b|nacan on sande
296a|ārum healdan,
296b|oð þæt eft byreð
297a|ofer lagu‐strēamas
297b|lēofne mannan
298a|wudu wunden‐hals
298b|tō Weder‐mearce.
299a|Gūð‐fremmendra
299b|swylcum gifeðe bið,
300a|þæt þone hilde‐rǣs
300b|hāl gedīgeð."
301a|Gewiton him þā fēran
301b|(flota stille bād,
302a|seomode on sāle
302b|sīd‐fæðmed scyp,
303a|on ancre fæst);
303b|eofor‐līc scionon
304a|ofer hlēor‐beran
304b|gehroden golde
305a|fāh and fȳr‐heard,
305b|ferh wearde hēold.
306a|Gūðmōde grummon,
306b|guman ōnetton,
307a|sigon ætsomne,
307b|oð þæt hȳ sæl timbred
308a|geatolīc and gold‐fāh
308b|ongytan mihton;
309a|þæt wæs fore‐mǣrost
309b|fold‐būendum
310a|receda under roderum,
310b|on þǣm se rīca bād;
311a|līxte se lēoma
311b|ofer landa fela.
312a|Him þā hilde‐dēor
312b|hof mōdigra
313a|torht getǣhte,
313b|þæt hīe him tō mihton
314a|gegnum gangan;
314b|gūð‐beorna sum
315a|wicg gewende,
315b|word æfter cwæð:
316a|"Mǣl is mē tō fēran;
316b|fæder alwalda
317a|mid ār‐stafum
317b|ēowic gehealde
318a|sīða gesunde!
318b|ic tō sǣ wille,
319a|wið wrāð werod
319b|wearde healdan."
320a|Strǣt wæs stān‐fāh,
320b|stīg wīsode
321a|gumum ætgædere.
321b|Gūð‐byrne scān
322a|heard hond‐locen,
322b|hring‐īren scīr
323a|song in searwum,
323b|þā hīe tō sele furðum
324a|in hyra gryre‐geatwum
324b|gangan cwōmon.
325a|Setton sǣ‐mēðe
325b|sīde scyldas,
326a|rondas regn‐hearde
326b|wið þæs recedes weal,
327a|bugon þā tō bence;
327b|byrnan hringdon,
328a|gūð‐searo gumena;
328b|gāras stōdon,
329a|sǣ‐manna searo,
329b|samod ætgædere,
330a|æsc‐holt ufan grǣg:
330b|wæs se īren‐þrēat
331a|wǣpnum gewurðad.
331b|Þā þǣr wlonc hæleð
332a|ōret‐mecgas
332b|æfter æðelum frægn:
333a|"Hwanon ferigeað gē
333b|fǣtte scyldas,
334a|grǣge syrcan
334b|and grīm‐helmas,
335a|here‐sceafta hēap?‐‐
335b|Ic eom Hrōðgāres
336a|ār and ombiht.
336b|Ne seah ic el‐þēodige
337a|þus manige men
337b|mōdiglīcran.
338a|Wēn' ic þæt gē for wlenco,
338b|nalles for wræc‐sīðum,
339a|ac for hige‐þrymmum
339b|Hrōðgār sōhton."
340a|Him þā ellen‐rōf
340b|andswarode,
341a|wlanc Wedera lēod
341b|word æfter spræc,
342a|heard under helme:
342b|"Wē synt Higelāces
343a|bēod‐genēatas;
343b|Bēowulf is mīn nama.
344a|Wille ic āsecgan
344b|suna Healfdenes,
345a|mǣrum þēodne
345b|mīn ǣrende,
346a|aldre þīnum,
346b|gif hē ūs geunnan wile,
347a|þæt wē hine swā gōdne
347b|grētan mōton."
348a|Wulfgār maðelode
348b|(þæt wæs Wendla lēod,
349a|wæs his mōd‐sefa
349b|manegum gecȳðed,
350a|wīg and wīs‐dōm):
350b|"ic þæs wine Deniga,
351a|frēan Scildinga
351b|frīnan wille,
352a|bēaga bryttan,
352b|swā þū bēna eart,
353a|þēoden mǣrne
353b|ymb þīnne sīð ;
354a|and þē þā andsware
354b|ǣdre gecȳðan,
355a|þē mē se gōda
355b|āgifan þenceð."
356a|Hwearf þā hrædlīce,
356b|þǣr Hrōðgār sæt,
357a|eald and unhār
357b|mid his eorla gedriht;
358a|ēode ellen‐rōf,
358b|þæt hē for eaxlum gestōd
359a|Deniga frēan,
359b|cūðe hē duguðe þēaw.
360a|Wulfgār maðelode
360b|tō his wine‐drihtne:
361a|"Hēr syndon geferede
361b|feorran cumene
362a|ofer geofenes begang
362b|Gēata lēode:
363a|þone yldestan
363b|ōret‐mecgas
364a|Bēowulf nemnað.
364b|Hȳ bēnan synt,
365a|þæt hīe, þēoden mīn,
365b|wið þē mōton
366a|wordum wrixlan;
366b|nō þū him wearne getēoh,
367a|þīnra gegn‐cwida
367b|glædnian, Hrōðgār!
368a|Hȳ on wīg‐geatwum
368b|wyrðe þinceað
369a|eorla geæhtlan;
369b|hūru se aldor dēah,
370a|sē þǣm heaðo‐rincum
370b|hider wīsade."
371a|Hrōðgār maðelode,
371b|helm Scyldinga:
372a|"Ic hine cūðe
372b|cniht‐wesende.
373a|Wæs his eald‐fæder
373b|Ecgþēo hāten,
374a|þǣm tō hām forgeaf
374b|Hrēðel Gēata
375a|āngan dōhtor;
375b|is his eafora nū
376a|heard hēr cumen,
376b|sōhte holdne wine.
377a|þonne sægdon þæt
377b|sǣ‐līðende,
378a|þā þe gif‐sceattas
378b|Gēata fyredon
379a|þyder tō þance,
379b|þæt hē þrīttiges
380a|manna mægen‐cræft
380b|on his mund‐grīpe
381a|heaðo‐rōf hæbbe.
381b|Hine hālig god
382a|for ār‐stafum
382b|us onsende,
383a|tō West‐Denum,
383b|þæs ic wēn hæbbe,
384a|wið Grendles gryre:
384b|ic þǣm gōdan sceal
385a|for his mōd‐þræce
385b|mādmas bēodan.
386a|Bēo þū on ofeste,
386b|hāt hig in gān,
387a|sēon sibbe‐gedriht
387b|samod ætgædere;
388a|gesaga him ēac wordum,
388b|þæt hīe sint wil‐cuman
389a|Deniga lēodum."
389b|Þā wið duru healle
390a|Wulfgār ēode,
390b|word inne ābēad:
391a|"Ēow hēt secgan
391b|sige‐drihten mīn,
392a|aldor Ēast‐Dena,
392b|þæt hē ēower æðelu can
393a|and gē him syndon
393b|ofer sǣ‐wylmas,
394a|heard‐hicgende,
394b|hider wil‐cuman.
395a|Nū gē mōton gangan
395b|in ēowrum guð‐geatawum,
396a|under here‐grīman,
396b|Hrōðgār gesēon;
397a|lǣtað hilde‐bord
397b|hēr onbidian,
398a|wudu wæl‐sceaftas,
398b|worda geþinges."
399a|Ārās þā se rīca,
399b|ymb hine rinc manig,
400a|þrȳðlīc þegna hēap;
400b|sume þǣr bidon,
401a|heaðo‐rēaf hēoldon,
401b|swā him se hearda bebēad.
402a|Snyredon ætsomne,
402b|þā secg wīsode
403a|under Heorotes hrōf;
403b|hyge‐rōf ēode,
404a|heard under helme,
404b|þæt hē on heoðe gestōd.
405a|Bēowulf maðelode
405b|(on him byrne scān,
406a|searo‐net sēowed
406b|smiðes or‐þancum):
407a|"Wes þū Hrōðgār hāl!
407b|ic eom Higelāces
408a|mǣg and mago‐þegn;
408b|hæbbe ic mǣrða fela
409a|ongunnen on geogoðe.
409b|Mē wearð Grendles þing
410a|on mīnre ēðel‐tyrf
410b|undyrne cūð:
411a|secgað sǣ‐līðend,
411b|þæt þes sele stande,
412a|reced sēlesta,
412b|rinca gehwylcum
413a|īdel and unnyt,
413b|siððan ǣfen‐lēoht
414a|under heofenes hādor
414b|beholen weorðeð.
415a|Þā mē þæt gelǣrdon
415b|lēode mīne,
416a|þā sēlestan,
416b|snotere ceorlas,
417a|þēoden Hrōðgār,
417b|þæt ic þē sōhte;
418a|forþan hīe mægenes cræft
418b|mīnne cūðon:
419a|selfe ofersāwon,
419b|þā ic of searwum cwōm,
420a|fāh from fēondum,
420b|þǣr ic fīfe geband,
421a|ȳðde eotena cyn,
421b|and on ȳðum slōg
422a|niceras nihtes,
422b|nearo‐þearfe drēah,
423a|wræc Wedera nīð
423b|(wēan āhsodon)
424a|forgrand gramum;
424b|and nū wið Grendel sceal,
425a|wið þām āglǣcan,
425b|āna gehegan
426a|þing wið þyrse.
426b|Ic þē nū þā,
427a|brego Beorht‐Dena,
427b|biddan wille,
428a|eodor Scyldinga,
428b|ānre bēne;
429a|þæt þū mē ne forwyrne,
429b|wīgendra hlēo,
430a|frēo‐wine folca,
430b|nū ic þus feorran cōm,
431a|þæt ic mōte āna
431b|and mīnra eorla gedryht,
432a|þes hearda hēap,
432b|Heorot fǣlsian.
433a|Hæbbe ic ēac geāhsod,
433b|þæt se ǣglǣca
434a|for his won‐hȳdum
434b|wǣpna ne rēceð;
435a|ic þæt þonne forhicge,
435b|swā mē Higelāc sīe,
436a|mīn mon‐drihten,
436b|mōdes blīðe,
437a|þæt ic sweord bere
437b|oððe sīdne scyld
438a|geolo‐rand tō gūðe;
438b|ac ic mid grāpe sceal
439a|fōn wið fēonde
439b|and ymb feorh sacan,
440a|lāð wið lāðum;
440b|þǣr gelȳfan sceal
441a|dryhtnes dōme
441b|sē þe hine dēað nimeð.
442a|Wēn' ic þæt hē wille,
442b|gif hē wealdan mōt,
443a|in þǣm gūð‐sele
443b|Gēatena lēode
444a|etan unforhte,
444b|swā hē oft dyde
445a|mægen Hrēðmanna.
445b|Nā þū mīnne þearft
446a|hafalan hȳdan,
446b|ac hē mē habban wile
447a|drēore fāhne,
447b|gif mec dēað nimeð;
448a|byreð blōdig wæl,
448b|byrgean þenceð,
449a|eteð ān‐genga
449b|unmurnlīce,
450a|mearcað mōr‐hopu:
450b|nō þū ymb mīnes ne þearft
451a|līces feorme
451b|leng sorgian.
452a|Onsend Higelāce,
452b|gif mec hild nime,
453a|beadu‐scrūda betst,
453b|þæt mīne brēost wereð,
454a|hrægla sēlest;
454b|þæt is Hrēðlan lāf,
455a|Wēlandes geweorc.
455b|Gǣð ā Wyrd swā hīo scel!"
456a|Hrōðgār maðelode,
456b|helm Scyldinga:
